_00_LOGTIME,_01_DENSITY,_02_PRESS,_03_PUMP_RATE,_04_PUMP_TTL,_05_PRESS_1,_06_PRESS_2,_07_RATE_1,_08_RATE_2,_09_WTR_RATE,_10_DENS_BKUP,_11_WATER_STG_TTL,_12_PUMP_STG_TTL,_13_JOB_NUMBER,_14_MARKER
46169.492396,0.459,18,0.089286,0.29881,18,0,0.089286,0,0,0,0,0.29881,1,0
46169.492407,0.459,18,0.101952,0.300476,18,0,0.101952,0,0,0,0,0.300476,1,0
46169.492419,0.459,18,0.111119,0.302143,18,0,0.111119,0,0,0,0,0.302143,1,0
46169.492431,0.459,18,0.115476,0.304048,18,0,0.115476,0,0,0,0,0.304048,1,0
46169.492442,0.459,18,0.115524,0.30619,18,0,0.115524,0,0,0,0,0.30619,1,0
46169.492454,0.459,18,0.115357,0.308095,18,0,0.115357,0,0,0,0,0.308095,1,0
46169.492465,0.459,18,0.112881,0.31,18,0,0.112881,0,0,0,0,0.31,1,0
46169.492477,0.459,18,0.102286,0.311667,18,0,0.102286,0,0,0,0,0.311667,1,0
46169.492488,0.459,18,0.106429,0.313333,18,0,0.106429,0,0,0,0,0.313333,1,0
46169.4925,0.459,18,0.112595,0.315238,18,0,0.112595,0,0,0,0,0.315238,1,0
46169.492512,0.459,18,0.115786,0.317143,18,0,0.115786,0,0,0,0,0.317143,1,0
46169.492523,0.459,18,0.114738,0.319048,18,0,0.114738,0,0,0,0,0.319048,1,0
46169.492535,0.459,18,0.111143,0.320952,18,0,0.111143,0,0,0,0,0.320952,1,0
46169.492546,0.459,18,0.096929,0.322857,18,0,0.096929,0,0,0,0,0.322857,1,0
46169.492558,0.459,18,0.091119,0.324524,18,0,0.091119,0,0,0,0,0.324524,1,0
46169.492569,0.459,18,0.106595,0.32619,18,0,0.106595,0,0,0,0,0.32619,1,0
46169.492581,0.459,18,0.112357,0.328095,18,0,0.112357,0,0,0,0,0.328095,1,0
46169.492593,0.459,18,0.113333,0.330238,18,0,0.113333,0,0,0,0,0.330238,1,0
46169.492604,0.459,18,0.113381,0.332143,18,0,0.113381,0,0,0,0,0.332143,1,0
46169.492616,0.459,18,0.110667,0.334048,18,0,0.110667,0,0,0,0,0.334048,1,0
46169.492627,0.459,18,0.095976,0.335714,18,0,0.095976,0,0,0,0,0.335714,1,0
46169.492639,0.459,18,0.093524,0.337619,18,0,0.093524,0,0,0,0,0.337381,1,0
46169.49265,0.459,18,0.108262,0.339286,18,0,0.108262,0,0,0,0,0.339286,1,0
46169.492662,0.459,12,0.112595,0.34119,12,0,0.112595,0,0,0,0,0.34119,1,0
46169.492674,0.459,9,0.115595,0.343333,9,0,0.115595,0,0,0,0,0.343333,1,0
46169.492685,0.459,9,0.115929,0.345238,9,0,0.115786,0,0,0,0,0.345238,1,0
46169.492708,0.459,9,0.114262,0.347381,9,0,0.114262,0,0,0,0,0.347381,1,0
46169.49272,0.459,9,0.103143,0.349286,9,0,0.103143,0,0,0,0,0.349286,1,0
46169.492731,0.459,9,0.104405,0.350952,9,0,0.104405,0,0,0,0,0.350952,1,0
46169.492743,0.459,9,0.113167,0.353095,9,0,0.113167,0,0,0,0,0.353095,1,0
46169.492755,0.459,9,0.11019,0.355,9,0,0.11019,0,0,0,0,0.355,1,0
46169.492766,0.459,9,0.110762,0.356905,9,0,0.110762,0,0,0,0,0.356905,1,0
46169.492778,0.459,9,0.109357,0.35881,9,0,0.109357,0,0,0,0,0.35881,1,0
46169.492789,0.459,9,0.097452,0.360714,9,0,0.097452,0,0,0,0,0.360714,1,0
46169.492801,0.459,9,0.094571,0.362381,9,0,0.094571,0,0,0,0,0.362381,1,0
46169.492813,0.459,9,0.10569,0.364048,9,0,0.10569,0,0,0,0,0.364048,1,0
46169.492824,0.459,9,0.114048,0.36619,9,0,0.114048,0,0,0,0,0.36619,1,0
46169.492836,0.459,9,0.113024,0.368095,9,0,0.113024,0,0,0,0,0.368095,1,0
46169.492847,0.459,9,0.114143,0.370238,9,0,0.114143,0,0,0,0,0.370238,1,0
46169.492859,0.459,9,0.108905,0.371905,9,0,0.108905,0,0,0,0,0.371905,1,0
46169.49287,0.459,9,0.093119,0.37381,9,0,0.093119,0,0,0,0,0.37381,1,0
46169.492882,0.448,9,0.096381,0.375476,9,0,0.096381,0,0,0,0,0.375476,1,0
46169.492894,0.448,9,0.10969,0.377381,9,0,0.10969,0,0,0,0,0.377381,1,0
46169.492905,0.448,9,0.1165,0.379286,9,0,0.1165,0,0,0,0,0.379286,1,0
46169.492928,0.448,9,0.115524,0.38119,9,0,0.115524,0,0,0,0,0.38119,1,0
46169.49294,0.448,9,0.116762,0.383333,9,0,0.116762,0,0,0,0,0.383333,1,0
46169.492951,0.448,9,0.114714,0.385476,9,0,0.114714,0,0,0,0,0.385476,1,0
46169.492963,0.448,9,0.1025,0.387381,9,0,0.1025,0,0,0,0,0.387381,1,0
46169.492975,0.448,9,0.10531,0.389048,9,0,0.10531,0,0,0,0,0.389048,1,0
46169.492986,0.448,9,0.111667,0.390952,9,0,0.111667,0,0,0,0,0.390952,1,0
46169.492998,0.448,9,0.112952,0.393095,9,0,0.112952,0,0,0,0,0.393095,1,0
46169.493009,0.448,9,0.111429,0.395,9,0,0.111429,0,0,0,0,0.395,1,0
46169.493021,0.448,9,0.111143,0.397143,9,0,0.111143,0,0,0,0,0.397143,1,0
46169.493032,0.448,9,0.095667,0.39881,9,0,0.095667,0,0,0,0,0.39881,1,0
46169.493044,0.448,9,0.097833,0.400238,9,0,0.097833,0,0,0,0,0.400238,1,0
46169.492361,0.448,9,0.113833,0.402381,9,0,0.113833,0,0,0,0,0.402381,1,0
46169.493067,0.448,9,0.115548,0.404524,9,0,0.115548,0,0,0,0,0.404524,1,0
46169.493079,0.448,9,0.114905,0.406429,9,0,0.114905,0,0,0,0,0.406429,1,0
46169.49309,0.448,9,0.1145,0.408333,9,0,0.1145,0,0,0,0,0.408333,1,0
46169.493102,0.448,9,0.10619,0.410476,9,0,0.10619,0,0,0,0,0.410476,1,0
