_00_LOGTIME,_01_DENSITY,_02_PRESS,_03_PUMP_RATE,_04_PUMP_TTL,_05_PRESS_1,_06_PRESS_2,_07_RATE_1,_08_RATE_2,_09_WTR_RATE,_10_DENS_BKUP,_11_WATER_STG_TTL,_12_PUMP_STG_TTL,_13_JOB_NUMBER,_14_MARKER
46170.290613,-4.989,18,0,0,18,-9,0,0,0,0,0,0,1,0
46170.290625,-4.989,18,0,0,18,-9,0,0,0,0,0,0,1,0
46170.290637,-4.989,18,0,0,18,-9,0,0,0,0,0,0,1,0
46170.290926,-4.989,18,2.060262,0.025714,18,0,0,2.060262,0,0,0,0.025714,2,0
46170.290938,-4.989,18,2.397548,0.064762,18,0,0,2.397548,0,0,0,0.064762,2,0
46170.290949,-4.989,41,2.743976,0.109762,41,18,0,2.743976,0,0,0,0.109762,2,0
46170.290961,-4.989,203,3.487619,0.163095,203,44,0,3.487619,0,0,0,0.163095,2,0
46170.290278,-4.989,194,3.50931,0.228333,194,26,0,3.50931,0,0,0,0.228333,2,0
46170.290984,-4.989,212,3.506286,0.286429,212,26,0,3.512381,0,0,0,0.286429,2,0
46170.290995,-4.989,168,3.581143,0.351429,168,18,0,3.581143,0,0,0,0.351429,2,0
46170.291019,-4.989,150,3.611095,0.417381,150,8,0,3.611095,0,0,0,0.417381,2,0
46170.29103,-4.989,142,3.63281,0.477857,142,0,0,3.63281,0,0,0,0.477857,2,0
46170.291042,-4.989,150,3.655976,0.544524,150,0,0,3.655976,0,0,0,0.544524,2,0
46170.291053,-4.989,159,3.662572,0.605476,159,-9,0,3.662572,0,0,0,0.605476,2,0
46170.291065,-4.989,132,3.666286,0.672857,132,-18,0,3.666286,0,0,0,0.672857,2,0
46170.291076,-4.989,150,3.664143,0.73381,150,-18,0,3.664143,0,0,0,0.73381,2,0
46170.291088,-4.989,132,3.662691,0.800952,132,-26,0,3.662691,0,0,0,0.800952,2,0
46170.2911,-4.989,115,3.678572,0.868095,115,-26,0,3.678572,0,0,0,0.868095,2,0
46170.291111,-4.989,117,3.730453,0.930238,117,-26,0,3.730453,0,0,0,0.930238,2,0
46170.291123,-4.989,106,3.539905,0.996667,106,-36,0,3.539905,0,0,0,0.996667,2,0
46170.291134,-4.989,100,3.527238,1.055476,100,-36,0,3.527238,0,0,0,1.055476,2,0
46170.291146,-4.989,106,3.546286,1.120476,106,-36,0,3.546286,0,0,0,1.120476,2,0
